Date,Close,Equity
0.04951,75.01,10000
0.08584,574,10000
0.0808,262,10000
0.07474,575,10000
0.07921,2160,10000
0.05842,2402.5,10000
0.06262,496.32,10000
0.05454,1551.48,10000
0.0505,877,10000
0.056,3373.69,10000
0.06,4390.29,10000
0.0589,8058.49,10000
0.0699,3020.85,10000
0.0627,4022.25,10000
0.06785,2601,10000
0.0611,3599,10000
0.0611,9821.46,10000
0.06,3494,10000
0.057,5034.07,10000
0.061,1395,10000
0.0623,2619,10000
0.059,2201,10000
0.0609,13631.1,10000
0.071,1310.39,10000
0.07,14061.2,10000
0.067,2062.31,10000
0.07,3591.77,10000
0.0645,4404.2,10000
0.067,4462.87,10000
0.06529,10731.5,10000
0.0655,13185.7,10000
0.07,2953.98,10000
0.068,741.12,10000
0.0667,4199.75,10000
0.0655,10443.9,10000
0.0664,18649,10000
0.066,4297.49,10000
0.06491,6711.76,10000
0.065,4228.88,10000
0.0648,3870.01,10000
0.064,9009.97,10000
0.065,6174.01,10000
0.0646,3173.4,10000
0.064,34193.1,10000
0.06497,14886.9,10000
0.06,7164.72,10000
0.0629,8150.73,10000
0.0634,892,10000
0.06085,3301,10000
0.06238,8459.24,10000
0.06165,910,10000
0.0616,3457.19,10000
0.06101,2345.41,10000
0.062,1733.5,10000
0.06111,4939.79,10000
0.0618,7749.14,10000
0.06366,793.88,10000
0.0615,10076.3,10000
0.06219,14014.8,10000
0.06199,3651.85,10000
0.0604,730,10000
0.0619,7262,10000
0.0601,7092.61,10000
0.061,12852.2,10000
0.0627,14307.9,10000
0.0621,5735.95,10000
0.06265,11560.4,10000
0.0622,15505.3,10000
0.06231,684.38,10000
0.0622,2152.5,10000
0.06202,12058.1,10000
0.0622,10752.2,10000
0.06221,7086.15,10000
0.0619,23475.6,10000
0.06191,7917.03,10000
0.0619,1717.45,10000
0.06197,13059.7,10000
0.0614,7172.63,10000
0.06111,33995.4,10000
0.0613,27526.6,10000
0.0614,33433.3,10000
0.06281,43693,10000
0.067,139287,10000
0.08685,187847,10000
0.0938,50684.2,10000
0.0965,14092.9,10000
0.095,25660.8,10000
0.0949,47557.3,10000
0.105,37217.3,10000
0.102,24643.3,10000
0.105,6284.71,10000
0.101,18222.2,10000
0.102,25665.1,10000
0.1024,6235.1,10000
0.097,31855,10000
0.099,44867,10000
0.107,34603.9,10000
0.109,4423.47,10000
0.1055,13800.2,10000
0.115,30299.6,10000
0.132,19219.1,10000
0.1503,65605.9,10000
0.1877,21525,10000
0.1731,28686.8,10000
0.19,26708.9,10000
0.1989,40337.8,10000
0.1925,21258.6,10000
0.1955,5853.39,10000
0.1938,61472.6,10000
0.1931,29698.4,10000
0.23,36622.1,10000
0.2639,32756.1,10000
0.39,77218.7,10000
0.34,118204,10000
0.243,47983.4,10000
0.223,30387,10000
0.24,5031.88,10000
0.2231,40720.4,10000
0.2682,21915.6,10000
0.276,16844.3,10000
0.279,8507.74,10000
0.2682,33931,10000
0.2251,32871.6,10000
0.24,37446.7,10000
0.2678,2157.56,10000
0.28,14652.7,10000
0.283,765,10000
0.2767,28205.8,10000
0.2879,4856.92,10000
0.2829,2514.91,10000
0.283,1679.6,10000
0.28,33531.9,10000
0.2844,1825.39,10000
0.283,20802.1,10000
